id,saleprice
2658,130450.33640236143
2718,154635.79312823617
2414,224389.90877854783
1989,104677.2243139013
625,174530.35659842772
333,94512.88291207461
1327,110646.47779944305
858,154566.1770570638
95,175201.77863566644
1568,174822.6330148302
2482,157165.20226278473
1364,122823.1128922061
2584,144764.53606333042
818,288127.56020986993
2673,154055.81502663335
2089,123520.19444456416
1297,150948.88673161453
790,115666.40991249838
2616,201879.5653851403
720,175023.63687935084
222,154006.62643119748
557,123142.82128288056
1148,190680.20915520517
2766,166522.96017298367
534,182169.17461566825
1452,122765.63880386829
630,115076.95534846044
2648,111564.99955194893
125,157967.81864667288
1904,62572.26896124886
1670,107488.85549907346
756,100715.7295206047
717,183381.732700705
1032,153775.87644879107
852,217454.46899239617
1731,180245.68198274943
2639,109818.80408421652
2071,95351.04079949591
1267,124673.33326558057
1851,187248.82061612763
567,152670.799750965
2439,203162.17721953668
1898,152306.97376800582
647,166263.80169355863
2256,202780.26052476527
979,95925.00160508028
1444,221471.90553762479
2485,122101.85198178542
157,137341.31572548926
88,120481.57481874373
2003,112818.80967831654
186,191603.09112435265
1425,233928.6755726149
2695,122932.07042856354
738,103817.33600742853
395,164551.96065778687
1353,165235.75923000186
1878,137504.7215213135
390,166155.27871523998
1456,230683.97348929886
1103,297243.0501175733
1387,123558.8403222794
2070,144618.90923026012
1199,178823.31298690152
2479,171496.96992821756
501,294840.70939607883
2362,95487.4596032064
1718,189269.00059239133
2188,83623.73528762959
1483,145787.80766938257
2557,86682.42205888833
437,377520.72962938005
2224,193442.85695060904
1628,174198.88622546854
397,140606.78303857948
587,187655.64460459293
971,133959.64960912196
2611,144191.79530241
1887,99610.83852427598
2399,375484.40541979246
2148,196973.44370270788
304,117765.36295083929
1997,121352.92361267794
2817,104181.35679810491
1431,197752.25402598886
427,312600.3597309636
263,124038.45103752485
598,168250.82403823326
2895,224716.46495166706
687,151113.03555185618
1822,135724.28428903903
2191,103956.43587391979
179,123175.44619131015
1009,200699.34250518106
2010,134142.91137730607
1991,134615.5350997789
1411,161563.95644779928
1721,225292.50466036436
1144,189477.4000359805
593,224580.25069235498
575,328678.9627693203
1249,163706.3291319684
1604,124087.96476822754
1064,491753.82337556523
1923,153679.54967412248
1988,114179.2250065828
2325,173737.1483409649
114,201764.4072698679
2700,171386.94063239396
217,127092.29438339667
343,173077.29408194238
386,213213.90123648633
2005,119417.95660753435
2908,145273.51263282925
1814,235009.33001307887
2446,491012.94804880815
208,136793.55545481222
1679,104355.45728765105
822,330303.30729057646
6,199222.19365655727
1781,394148.69520599704
2397,285722.1249477263
2340,314096.7905643175
1618,185711.6408054355
2843,118227.41239724908
1061,374150.72776282806
2786,128682.84819126072
1935,137002.97460353273
1341,109736.98933746059
521,262214.692644105
